date,cat,ret,fx_ret,ai_0,ai_12,ai_38,crypto_0,crypto_12,crypto_38,ret_l1,q,q2,q3,q4
2024-03-10,CPU,-0.001477993448885,-0.01055573947546673,0.8573244832757597,,,1.1925323047720495,1.9852739556064567,,,1,0,0,0
2024-03-17,CPU,0.0005075535352144,0.0005599411496861606,-0.06065100854229248,1.115867617716757,,-0.03866476174411776,2.9100575901646297,,-0.001477993448885,1,0,0,0
2024-03-24,CPU,0.0006733549823636,0.00960634451770126,0.9987469158602699,0.6320627856345632,,-0.16306313159192987,0.768541733105686,,0.0005075535352144,1,0,0,0
2024-03-31,CPU,0.001044098580576,0.011264866513997163,-0.786198160878342,0.7422992758009745,,0.908870679269044,-0.13486924573941242,,0.0006733549823636,1,0,0,0
2024-04-07,CPU,-0.0086746720647496,0.001155012422158208,-0.5301902956068033,0.1767470500183654,,-0.43583908197247595,0.49659785520639027,,0.001044098580576,2,1,0,0
2024-04-14,CPU,0.0006425134444731,0.012121346384044607,-0.08429961402373581,-1.0150346835919142,,-0.5740810260828813,0.31481147430821455,,-0.0086746720647496,2,1,0,0
2024-04-21,CPU,-0.0051642772684121,0.008415811406386808,-2.413724010412952,-0.467916161840288,,-0.3222439782572466,-0.6734736849465378,1.8851704538667728,0.0006425134444731,2,1,0,0
2024-04-28,CPU,-0.0043474434548666,-0.0055978288086713235,2.100929235159631,-1.9361001128287978,0.48561732995841256,-0.47505825444200905,-0.5977703732603871,1.7948141416308176,-0.0051642772684121,2,1,0,0
2024-05-05,CPU,-0.0029576162654787,-0.005160142582478322,0.07174136269028236,-0.23274970269913,0.18709378529298082,-0.08246533621212859,-0.5317785170942267,0.3875764562882706,-0.0043474434548666,2,1,0,0
2024-05-12,CPU,0.0005006047730786,0.0005567755596134205,0.07565228671537877,1.7046302034011442,-1.3284295016086194,-0.5410442631847693,-0.3719825691990716,-0.18104171713383324,-0.0029576162654787,2,1,0,0
2024-05-19,CPU,-0.0018316731189174,-0.014280466399256397,0.33261780361314897,0.12595970303324286,-0.32693863341837426,0.9665687245852314,-0.4159576986139896,-0.3448555248169893,0.0005006047730786,2,1,0,0
2024-05-26,CPU,-0.0052687462173019,0.015905021781582818,2.099557674190771,0.3293086533297733,-0.7564334897700552,0.6264198620446069,0.28315124073797954,-0.314600647113821,-0.0018316731189174,2,1,0,0
2024-06-02,CPU,-0.0050960964156617,0.0058325357660633514,0.3445083542488994,1.9069100441901286,-0.35712592044633656,-0.04455539080065411,1.061185660040066,-0.8588711083245985,-0.0052687462173019,2,1,0,0
2024-06-09,CPU,0.0036266217650564,-0.007566972980826314,1.420954517441114,1.9161785353642415,0.04262534249522171,0.35404848634805824,0.3873410878978348,-0.3324339213341813,-0.0050960964156617,2,1,0,0
2024-06-16,CPU,-0.0030563793408595,0.006199378205427486,1.2539885059805844,1.3872183919921723,1.054437482224945,-0.7295997646981779,0.20582432815762516,0.11821125303673494,0.0036266217650564,2,1,0,0
2024-06-23,CPU,0.0035696524545059,0.01307526436010864,-0.7624485511024933,2.0961434045993825,2.332365763446112,-0.8433967404973639,-0.25071055811719134,0.22245026123137146,-0.0030563793408595,2,1,0,0
2024-06-30,CPU,0.0028178225272856,-0.0035051481648231686,-0.49717403979687047,0.39421616083634237,2.0173238063503747,-0.27840496248242247,-1.0487253164136723,0.5336811444989595,0.0035696524545059,2,1,0,0
2024-07-07,CPU,-0.0006174303482507,-0.004842414268821926,0.17279500819003915,-0.9707866129776896,2.5650757213667266,-1.9585193516617716,-0.7480350610577883,0.2907592022908257,0.0028178225272856,3,0,1,0
2024-07-14,CPU,0.0012314577829501,-0.00652731020544195,0.30448107583130807,-0.24177944245301125,2.1767716840112965,1.2818105404054014,-1.4911874667537361,0.17726183947542798,-0.0006174303482507,3,0,1,0
2024-07-21,CPU,0.0016190569427103,0.010136070799365626,-1.5564442577410722,0.38309770508149044,1.792317321932809,1.9600741076695198,-0.45141130871809537,-0.2900775768001437,0.0012314577829501,3,0,1,0
2024-07-28,CPU,-0.0023982811042188,-0.0027541693597434858,-0.7793656707400015,-0.9648162280229691,0.8996207769898694,-0.09784970942821791,2.160061301639646,-1.260414537163328,0.0016190569427103,3,0,1,0
2024-08-04,CPU,0.0019553757544536,-0.009060622556364528,-0.9428922137080615,-1.8096571704166553,0.8810755696442132,-2.952485677306245,1.2406127823092792,-0.7625220222479037,-0.0023982811042188,3,0,1,0
2024-08-11,CPU,-0.0015206390062077,0.0034929023029093287,-0.48996686966961944,-1.3314033132839882,-0.498395626483617,0.1898917324293655,-2.033269915233527,-0.15965058473197366,0.0019553757544536,3,0,1,0
2024-08-18,CPU,-0.002254771422267,-0.007489248657267744,2.610702126155018,-1.105821646321058,-1.4404775342524652,-0.2963688431696944,-1.841510065156057,0.07749635670846756,-0.0015206390062077,3,0,1,0
2024-08-25,CPU,0.0003807230783203,-0.017735963898911855,0.47731400872900226,1.664147447992469,-1.524079649348035,1.1785160604176432,-0.07139116044032974,-0.7142154704893439,-0.002254771422267,3,0,1,0
